speed_mps,bearing_deviation_deg,sustained_wrong_way_duration_s,gps_noise_estimate,speed_x_bearing_interaction,road_type_encoded,time_of_day_sin,time_of_day_cos,true_label,predicted_label
6.36,155.1,30.0,1.0,5.4802,1,-0.874317917862888,-0.48535366332593416,0,1
3.84,161.4,30.0,1.0,3.4432,1,-0.876777292848596,-0.48089664039696445,0,1
9.77,158.3,30.0,1.0,8.592172222222223,1,-0.7416635858880777,0.6707720368110451,0,1
6.29,159.4,30.0,1.0,5.570144444444445,1,-0.8740354026009498,-0.4858622387057834,0,1
5.92,159.2,30.0,1.0,5.23591111111111,0,-0.8763222678264719,-0.48172531894376197,0,1
6.76,158.5,30.0,0.5646574000000001,5.952555555555556,1,-0.8754625920558919,-0.48328588838365527,0,1
11.78,138.7,30.0,1.0,9.077144444444443,1,-0.7380186148908767,0.6747803524663059,0,1
9.8,157.2,30.0,1.0,8.558666666666667,1,-0.7398805082024648,0.6727383098813852,0,1
4.16,157.1,30.0,0.764451,3.6307555555555555,0,-0.8756558225025111,-0.4829356898360804,0,1
6.53,153.7,30.0,1.0,5.575894444444444,1,-0.8735579873300376,-0.4867200866739462,0,1
5.45,159.8,30.0,1.0,4.83838888888889,1,-0.8776152799883016,-0.47936564366989737,0,1
5.95,156.4,30.0,1.0,5.169888888888889,1,-0.8727781734310323,-0.4881170556151372,0,1
4.26,153.4,30.0,1.0,3.6304666666666665,0,-0.8777895242353698,-0.4790465020670155,0,1
3.46,160.2,30.0,1.0,3.0793999999999997,0,-0.8728669011914838,-0.48795837199947334,0,1
5.4,166.0,30.0,1.0,4.98,1,-0.8737349059961979,-0.4864024198580999,0,1
10.8,160.5,30.0,1.0,9.63,1,-0.7421024462756499,0.6702864754951393,0,1
6.23,152.1,30.0,0.6050046666666666,5.26435,1,-0.8739647275583938,-0.4859893568626605,0,1
4.15,164.4,30.0,1.0,3.7903333333333338,0,-0.8751988702916582,-0.4837633072487052,0,1
3.07,170.3,30.0,1.0,2.904561111111111,2,-0.8762521944503152,-0.48185276975545854,0,1
6.79,151.6,30.0,1.0,5.718688888888889,1,-0.8741237204033432,-0.48570332655667275,0,1
5.24,160.4,30.0,1.0,4.669422222222223,1,-0.8767598063737111,-0.4809285206010687,0,1
5.13,153.0,30.0,1.0,4.3605,1,-0.8749172801122435,-0.4842723954150124,0,1
2.12,161.6,30.0,1.0,1.903288888888889,2,-0.876234673209933,-0.4818846308658142,0,1
5.14,167.7,30.0,1.0,4.788766666666667,1,-0.8736464611014825,-0.4865612613072026,0,1
3.72,163.7,30.0,1.0,3.3831333333333333,0,-0.8753571345975041,-0.4834768731896565,0,1
11.64,169.0,30.0,1.0,10.928666666666667,1,-0.739170714793253,0.6735181173450581,0,1
3.52,151.8,30.0,1.0,2.9685333333333337,1,-0.8737172193275332,-0.48643418943425765,0,1
5.37,159.1,30.0,1.0,4.746483333333333,1,-0.8744590645279707,-0.48509931402225914,0,1
5.28,159.9,30.0,0.9256166666666668,4.6904,1,-0.8738940340279995,-0.48611646473892406,0,1
4.36,163.7,30.0,1.0,3.965177777777778,0,-0.877196620430142,-0.4801313248538752,0,1
4.66,161.3,30.0,1.0,4.175877777777778,2,-0.8760944615831391,-0.48213949680911816,0,1
10.3,149.6,30.0,1.0,8.560444444444446,2,-0.7361510856376837,0.6768172420339627,0,1
4.36,156.3,30.0,1.0,3.785933333333334,2,-0.8727071704519503,-0.48824399089159365,0,1
4.06,163.3,30.0,1.0,3.683322222222222,1,-0.8751285005140016,-0.4838905946472975,0,1
6.12,160.8,30.0,1.0,5.467200000000001,0,-0.8760418631104107,-0.48223506102111713,0,1
5.56,161.6,30.0,1.0,4.991644444444444,1,-0.8750581122238871,-0.48401787180967504,0,1
11.25,167.9,30.0,1.0,10.49375,1,-0.7419561947919693,0.6704483611806515,0,1
3.49,158.8,30.0,1.0,3.078955555555556,1,-0.8778243591589587,-0.47898266614478163,0,1
5.15,160.3,30.0,1.0,4.5863611111111116,1,-0.8765148740213763,-0.4813747766753996,0,1
6.5,151.1,30.0,0.9603344000000005,5.456388888888889,1,-0.8774409197095935,-0.4796847218946865,0,1
11.59,165.6,30.0,1.0,10.662799999999999,0,-0.7411267695374611,0.6713651104093561,0,1
5.32,158.9,30.0,1.0,4.696377777777778,1,-0.877911426157154,-0.4788230652576292,0,1
6.05,160.1,30.0,1.0,5.381138888888889,0,-0.8746882700398378,-0.4846859088675012,0,1
7.62,165.7,30.0,1.0,7.014633333333332,2,-0.8772664434222981,-0.4800037366991969,0,1
6.52,167.1,30.0,1.0,6.052733333333333,0,-0.8777024166172311,-0.4792060807880806,0,1
4.02,166.1,30.0,1.0,3.709566666666666,1,-0.8736641523906571,-0.4865294943038034,0,1
2.66,158.1,30.0,1.0,2.3363666666666667,2,-0.876952093837167,-0.48057780339359063,0,1
9.9,160.9,30.0,1.0,8.8495,1,-0.7421755587723786,0.6702055206881748,0,1
5.48,169.4,30.0,1.0,5.157288888888889,1,-0.8744943396332725,-0.4850357202818846,0,1
8.47,175.3,30.0,1.0,8.24883888888889,2,-0.7352891478056323,0.6777535460027243,0,1
10.77,145.0,30.0,1.0,8.675833333333333,1,-0.7418342915789209,0.6705832415424655,0,1
5.62,158.0,30.0,1.0,4.933111111111111,0,-0.8772489894139841,-0.48003563468990895,0,1
10.29,149.1,30.0,1.0,8.523549999999998,1,-0.7399783461973393,0.672630691508387,0,1
